,Unnamed: 0,activity_name,lifecycle:transition,org:resource,end_timestamp,Activity,resource,case_id,case:variant,case:variant-index,case:creator,start_timestamp,agent
15,15,Authorize Supplier's Invoice payment,complete,Karalda Nimwada,2011-01-04 20:13:00+00:00,Authorize Supplier's Invoice payment,Karalda Nimwada,1,Variant 2,2,Fluxicon Disco,2011-01-04 20:13:00+00:00,25
16,16,Pay Invoice,complete,Pedro Alvares,2011-01-04 20:31:00+00:00,Pay Invoice,Pedro Alvares,1,Variant 2,2,Fluxicon Disco,2011-01-04 20:22:00+00:00,26
17,17,Create Purchase Requisition,complete,Immanuel Karagianni,2011-01-01 05:29:00+00:00,Create Purchase Requisition,Immanuel Karagianni,2,Variant 20,20,Fluxicon Disco,2011-01-01 05:16:00+00:00,1
18,18,Create Request for Quotation,complete,Alberto Duport,2011-01-01 13:26:00+00:00,Create Request for Quotation,Alberto Duport,2,Variant 20,20,Fluxicon Disco,2011-01-01 13:16:00+00:00,3
19,19,Analyze Request for Quotation,complete,Karel de Groot,2011-01-01 14:38:00+00:00,Analyze Request for Quotation,Karel de Groot,2,Variant 20,20,Fluxicon Disco,2011-01-01 14:34:00+00:00,2
20,20,Amend Request for Quotation,complete,Christian Francois,2011-01-01 15:21:00+00:00,Amend Request for Quotation,Christian Francois,2,Variant 20,20,Fluxicon Disco,2011-01-01 15:16:00+00:00,6
21,21,Analyze Request for Quotation,complete,Magdalena Predutta,2011-01-01 16:48:00+00:00,Analyze Request for Quotation,Magdalena Predutta,2,Variant 20,20,Fluxicon Disco,2011-01-01 16:15:00+00:00,7
22,22,Amend Request for Quotation,complete,Esmana Liubiata,2011-01-01 17:39:00+00:00,Amend Request for Quotation,Esmana Liubiata,2,Variant 20,20,Fluxicon Disco,2011-01-01 17:33:00+00:00,5
23,23,Analyze Request for Quotation,complete,Karel de Groot,2011-01-01 18:38:00+00:00,Analyze Request for Quotation,Karel de Groot,2,Variant 20,20,Fluxicon Disco,2011-01-01 18:28:00+00:00,2
24,24,Send Request for Quotation to Supplier,complete,Francois de Perrier,2011-01-01 20:40:00+00:00,Send Request for Quotation to Supplier,Francois de Perrier,2,Variant 20,20,Fluxicon Disco,2011-01-01 20:18:00+00:00,8
25,25,Create Quotation comparison Map,complete,Karel de Groot,2011-01-01 21:43:00+00:00,Create Quotation comparison Map,Karel de Groot,2,Variant 20,20,Fluxicon Disco,2011-01-01 20:55:00+00:00,2
26,26,Analyze Quotation Comparison Map,complete,Esmana Liubiata,2011-01-02 04:44:00+00:00,Analyze Quotation Comparison Map,Esmana Liubiata,2,Variant 20,20,Fluxicon Disco,2011-01-02 04:33:00+00:00,5
27,27,Choose best option,complete,Fjodor Kowalski,2011-01-02 04:44:00+00:00,Choose best option,Fjodor Kowalski,2,Variant 20,20,Fluxicon Disco,2011-01-02 04:44:00+00:00,4
28,28,Settle Conditions With Supplier,complete,Magdalena Predutta,2011-01-02 20:07:00+00:00,Settle Conditions With Supplier,Magdalena Predutta,2,Variant 20,20,Fluxicon Disco,2011-01-02 07:15:00+00:00,7
29,29,Create Purchase Order,complete,Magdalena Predutta,2011-01-02 21:31:00+00:00,Create Purchase Order,Magdalena Predutta,2,Variant 20,20,Fluxicon Disco,2011-01-02 21:21:00+00:00,7
30,30,Confirm Purchase Order,complete,Esmeralda Clay,2011-01-03 01:29:00+00:00,Confirm Purchase Order,Esmeralda Clay,2,Variant 20,20,Fluxicon Disco,2011-01-03 01:23:00+00:00,21
31,31,Deliver Goods Services,complete,Esmeralda Clay,2011-01-04 19:53:00+00:00,Deliver Goods Services,Esmeralda Clay,2,Variant 20,20,Fluxicon Disco,2011-01-03 08:15:00+00:00,21
32,32,Release Purchase Order,complete,Elvira Lores,2011-01-05 04:02:00+00:00,Release Purchase Order,Elvira Lores,2,Variant 20,20,Fluxicon Disco,2011-01-05 04:01:00+00:00,19
33,33,Approve Purchase Order for payment,complete,Karel de Groot,2011-01-05 14:04:00+00:00,Approve Purchase Order for payment,Karel de Groot,2,Variant 20,20,Fluxicon Disco,2011-01-05 14:03:00+00:00,2
34,34,Send Invoice,complete,Esmeralda Clay,2011-01-05 19:50:00+00:00,Send Invoice,Esmeralda Clay,2,Variant 20,20,Fluxicon Disco,2011-01-05 19:50:00+00:00,21
35,35,Release Supplier's Invoice,complete,Pedro Alvares,2011-01-06 10:07:00+00:00,Release Supplier's Invoice,Pedro Alvares,2,Variant 20,20,Fluxicon Disco,2011-01-06 10:04:00+00:00,26
36,36,Settle Dispute With Supplier,complete,Karalda Nimwada,2011-01-06 10:58:00+00:00,Settle Dispute With Supplier,Karalda Nimwada,2,Variant 20,20,Fluxicon Disco,2011-01-06 10:38:00+00:00,25
37,37,Authorize Supplier's Invoice payment,complete,Pedro Alvares,2011-01-06 10:58:00+00:00,Authorize Supplier's Invoice payment,Pedro Alvares,2,Variant 20,20,Fluxicon Disco,2011-01-06 10:58:00+00:00,26
38,38,Pay Invoice,complete,Karalda Nimwada,2011-01-06 11:32:00+00:00,Pay Invoice,Karalda Nimwada,2,Variant 20,20,Fluxicon Disco,2011-01-06 11:21:00+00:00,25
39,39,Create Purchase Requisition,complete,Kim Passa,2011-01-01 08:03:00+00:00,Create Purchase Requisition,Kim Passa,3,Variant 1,1,Fluxicon Disco,2011-01-01 07:23:00+00:00,0
40,40,Analyze Purchase Requisition,complete,Heinz Gutschmidt,2011-01-02 06:58:00+00:00,Analyze Purchase Requisition,Heinz Gutschmidt,3,Variant 1,1,Fluxicon Disco,2011-01-02 06:50:00+00:00,11
41,41,Create Request for Quotation,complete,Francis Odell,2011-01-02 07:03:00+00:00,Create Request for Quotation,Francis Odell,3,Variant 1,1,Fluxicon Disco,2011-01-02 07:01:00+00:00,15
42,42,Analyze Request for Quotation,complete,Karel de Groot,2011-01-02 08:48:00+00:00,Analyze Request for Quotation,Karel de Groot,3,Variant 1,1,Fluxicon Disco,2011-01-02 08:27:00+00:00,2
43,43,Send Request for Quotation to Supplier,complete,Magdalena Predutta,2011-01-02 20:55:00+00:00,Send Request for Quotation to Supplier,Magdalena Predutta,3,Variant 1,1,Fluxicon Disco,2011-01-02 20:29:00+00:00,7
44,44,Create Quotation comparison Map,complete,Francois de Perrier,2011-01-03 02:00:00+00:00,Create Quotation comparison Map,Francois de Perrier,3,Variant 1,1,Fluxicon Disco,2011-01-02 21:00:00+00:00,8
45,45,Analyze Quotation Comparison Map,complete,Clement Duchot,2011-01-03 08:47:00+00:00,Analyze Quotation Comparison Map,Clement Duchot,3,Variant 1,1,Fluxicon Disco,2011-01-03 08:18:00+00:00,20
46,46,Choose best option,complete,Christian Francois,2011-01-03 08:47:00+00:00,Choose best option,Christian Francois,3,Variant 1,1,Fluxicon Disco,2011-01-03 08:47:00+00:00,6
47,47,Settle Conditions With Supplier,complete,Francois de Perrier,2011-01-04 03:16:00+00:00,Settle Conditions With Supplier,Francois de Perrier,3,Variant 1,1,Fluxicon Disco,2011-01-03 19:14:00+00:00,8
48,48,Create Purchase Order,complete,Francois de Perrier,2011-01-04 04:59:00+00:00,Create Purchase Order,Francois de Perrier,3,Variant 1,1,Fluxicon Disco,2011-01-04 04:51:00+00:00,8
49,49,Confirm Purchase Order,complete,Karen Clarens,2011-01-04 09:10:00+00:00,Confirm Purchase Order,Karen Clarens,3,Variant 1,1,Fluxicon Disco,2011-01-04 08:47:00+00:00,23
50,50,Deliver Goods Services,complete,Esmeralda Clay,2011-01-05 19:20:00+00:00,Deliver Goods Services,Esmeralda Clay,3,Variant 1,1,Fluxicon Disco,2011-01-04 19:53:00+00:00,21
51,51,Release Purchase Order,complete,Elvira Lores,2011-01-06 02:55:00+00:00,Release Purchase Order,Elvira Lores,3,Variant 1,1,Fluxicon Disco,2011-01-06 02:54:00+00:00,19
52,52,Approve Purchase Order for payment,complete,Francois de Perrier,2011-01-06 18:47:00+00:00,Approve Purchase Order for payment,Francois de Perrier,3,Variant 1,1,Fluxicon Disco,2011-01-06 18:46:00+00:00,8
53,53,Send Invoice,complete,Kiu Kan,2011-01-07 06:33:00+00:00,Send Invoice,Kiu Kan,3,Variant 1,1,Fluxicon Disco,2011-01-07 06:33:00+00:00,24
54,54,Release Supplier's Invoice,complete,Karalda Nimwada,2011-01-07 20:55:00+00:00,Release Supplier's Invoice,Karalda Nimwada,3,Variant 1,1,Fluxicon Disco,2011-01-07 20:51:00+00:00,25
55,55,Authorize Supplier's Invoice payment,complete,Karalda Nimwada,2011-01-07 20:55:00+00:00,Authorize Supplier's Invoice payment,Karalda Nimwada,3,Variant 1,1,Fluxicon Disco,2011-01-07 20:55:00+00:00,25
56,56,Pay Invoice,complete,Karalda Nimwada,2011-01-07 21:31:00+00:00,Pay Invoice,Karalda Nimwada,3,Variant 1,1,Fluxicon Disco,2011-01-07 21:24:00+00:00,25
57,57,Create Purchase Requisition,complete,Fjodor Kowalski,2011-01-01 14:00:00+00:00,Create Purchase Requisition,Fjodor Kowalski,4,Variant 37,37,Fluxicon Disco,2011-01-01 13:39:00+00:00,4
58,58,Analyze Purchase Requisition,complete,Maris Freeman,2011-01-01 23:51:00+00:00,Analyze Purchase Requisition,Maris Freeman,4,Variant 37,37,Fluxicon Disco,2011-01-01 23:45:00+00:00,10
59,59,Create Request for Quotation,complete,Heinz Gutschmidt,2011-01-01 23:58:00+00:00,Create Request for Quotation,Heinz Gutschmidt,4,Variant 37,37,Fluxicon Disco,2011-01-01 23:56:00+00:00,11
60,60,Analyze Request for Quotation,complete,Francois de Perrier,2011-01-02 01:19:00+00:00,Analyze Request for Quotation,Francois de Perrier,4,Variant 37,37,Fluxicon Disco,2011-01-02 00:58:00+00:00,8
61,61,Amend Request for Quotation,complete,Nico Ojenbeer,2011-01-02 02:14:00+00:00,Amend Request for Quotation,Nico Ojenbeer,4,Variant 37,37,Fluxicon Disco,2011-01-02 02:06:00+00:00,13
62,62,Analyze Request for Quotation,complete,Francois de Perrier,2011-01-02 03:24:00+00:00,Analyze Request for Quotation,Francois de Perrier,4,Variant 37,37,Fluxicon Disco,2011-01-02 03:01:00+00:00,8
63,63,Send Request for Quotation to Supplier,complete,Karel de Groot,2011-01-02 08:01:00+00:00,Send Request for Quotation to Supplier,Karel de Groot,4,Variant 37,37,Fluxicon Disco,2011-01-02 07:42:00+00:00,2
64,64,Create Quotation comparison Map,complete,Karel de Groot,2011-01-02 14:08:00+00:00,Create Quotation comparison Map,Karel de Groot,4,Variant 37,37,Fluxicon Disco,2011-01-02 08:48:00+00:00,2
65,65,Analyze Quotation Comparison Map,complete,Elvira Lores,2011-01-02 21:13:00+00:00,Analyze Quotation Comparison Map,Elvira Lores,4,Variant 37,37,Fluxicon Disco,2011-01-02 20:59:00+00:00,19
66,66,Choose best option,complete,Kim Passa,2011-01-02 21:13:00+00:00,Choose best option,Kim Passa,4,Variant 37,37,Fluxicon Disco,2011-01-02 21:13:00+00:00,0
67,67,Settle Conditions With Supplier,complete,Magdalena Predutta,2011-01-03 12:45:00+00:00,Settle Conditions With Supplier,Magdalena Predutta,4,Variant 37,37,Fluxicon Disco,2011-01-03 00:13:00+00:00,7
68,68,Create Purchase Order,complete,Magdalena Predutta,2011-01-03 17:17:00+00:00,Create Purchase Order,Magdalena Predutta,4,Variant 37,37,Fluxicon Disco,2011-01-03 17:08:00+00:00,7
69,69,Confirm Purchase Order,complete,Carmen Finacse,2011-01-03 21:38:00+00:00,Confirm Purchase Order,Carmen Finacse,4,Variant 37,37,Fluxicon Disco,2011-01-03 21:13:00+00:00,22
70,70,Deliver Goods Services,complete,Carmen Finacse,2011-01-05 07:30:00+00:00,Deliver Goods Services,Carmen Finacse,4,Variant 37,37,Fluxicon Disco,2011-01-04 04:05:00+00:00,22
71,71,Release Purchase Order,complete,Miu Hanwan,2011-01-05 14:58:00+00:00,Release Purchase Order,Miu Hanwan,4,Variant 37,37,Fluxicon Disco,2011-01-05 14:57:00+00:00,16
72,72,Approve Purchase Order for payment,complete,Magdalena Predutta,2011-01-06 05:30:00+00:00,Approve Purchase Order for payment,Magdalena Predutta,4,Variant 37,37,Fluxicon Disco,2011-01-06 05:29:00+00:00,7
73,73,Send Invoice,complete,Esmeralda Clay,2011-01-06 11:13:00+00:00,Send Invoice,Esmeralda Clay,4,Variant 37,37,Fluxicon Disco,2011-01-06 11:13:00+00:00,21
74,74,Authorize Supplier's Invoice payment,complete,Pedro Alvares,2011-01-07 01:39:00+00:00,Authorize Supplier's Invoice payment,Pedro Alvares,4,Variant 37,37,Fluxicon Disco,2011-01-07 01:39:00+00:00,26
75,75,Pay Invoice,complete,Karalda Nimwada,2011-01-07 02:32:00+00:00,Pay Invoice,Karalda Nimwada,4,Variant 37,37,Fluxicon Disco,2011-01-07 02:25:00+00:00,25
76,76,Create Purchase Requisition,complete,Esmana Liubiata,2011-01-01 15:35:00+00:00,Create Purchase Requisition,Esmana Liubiata,5,Variant 37,37,Fluxicon Disco,2011-01-01 14:49:00+00:00,5
77,77,Analyze Purchase Requisition,complete,Maris Freeman,2011-01-02 06:57:00+00:00,Analyze Purchase Requisition,Maris Freeman,5,Variant 37,37,Fluxicon Disco,2011-01-02 06:50:00+00:00,10
78,78,Create Request for Quotation,complete,Maris Freeman,2011-01-02 07:06:00+00:00,Create Request for Quotation,Maris Freeman,5,Variant 37,37,Fluxicon Disco,2011-01-02 07:05:00+00:00,10
79,79,Analyze Request for Quotation,complete,Karel de Groot,2011-01-02 08:27:00+00:00,Analyze Request for Quotation,Karel de Groot,5,Variant 37,37,Fluxicon Disco,2011-01-02 08:02:00+00:00,2
80,80,Amend Request for Quotation,complete,Anne Olwada,2011-01-02 09:33:00+00:00,Amend Request for Quotation,Anne Olwada,5,Variant 37,37,Fluxicon Disco,2011-01-02 09:21:00+00:00,14
81,81,Analyze Request for Quotation,complete,Karel de Groot,2011-01-02 14:42:00+00:00,Analyze Request for Quotation,Karel de Groot,5,Variant 37,37,Fluxicon Disco,2011-01-02 14:08:00+00:00,2
82,82,Send Request for Quotation to Supplier,complete,Karel de Groot,2011-01-03 00:21:00+00:00,Send Request for Quotation to Supplier,Karel de Groot,5,Variant 37,37,Fluxicon Disco,2011-01-02 23:49:00+00:00,2
83,83,Create Quotation comparison Map,complete,Karel de Groot,2011-01-03 01:14:00+00:00,Create Quotation comparison Map,Karel de Groot,5,Variant 37,37,Fluxicon Disco,2011-01-03 00:36:00+00:00,2
84,84,Analyze Quotation Comparison Map,complete,Anne Olwada,2011-01-03 08:30:00+00:00,Analyze Quotation Comparison Map,Anne Olwada,5,Variant 37,37,Fluxicon Disco,2011-01-03 08:18:00+00:00,14
85,85,Choose best option,complete,Nico Ojenbeer,2011-01-03 08:30:00+00:00,Choose best option,Nico Ojenbeer,5,Variant 37,37,Fluxicon Disco,2011-01-03 08:30:00+00:00,13
86,86,Settle Conditions With Supplier,complete,Magdalena Predutta,2011-01-04 00:12:00+00:00,Settle Conditions With Supplier,Magdalena Predutta,5,Variant 37,37,Fluxicon Disco,2011-01-03 18:18:00+00:00,7
87,87,Create Purchase Order,complete,Karel de Groot,2011-01-04 02:09:00+00:00,Create Purchase Order,Karel de Groot,5,Variant 37,37,Fluxicon Disco,2011-01-04 02:01:00+00:00,2
88,88,Confirm Purchase Order,complete,Karen Clarens,2011-01-04 06:24:00+00:00,Confirm Purchase Order,Karen Clarens,5,Variant 37,37,Fluxicon Disco,2011-01-04 06:02:00+00:00,23
89,89,Deliver Goods Services,complete,Kiu Kan,2011-01-05 09:37:00+00:00,Deliver Goods Services,Kiu Kan,5,Variant 37,37,Fluxicon Disco,2011-01-04 14:08:00+00:00,24
90,90,Release Purchase Order,complete,Anna Kaufmann,2011-01-05 17:14:00+00:00,Release Purchase Order,Anna Kaufmann,5,Variant 37,37,Fluxicon Disco,2011-01-05 17:13:00+00:00,17
91,91,Approve Purchase Order for payment,complete,Francois de Perrier,2011-01-06 07:42:00+00:00,Approve Purchase Order for payment,Francois de Perrier,5,Variant 37,37,Fluxicon Disco,2011-01-06 07:41:00+00:00,8
92,92,Send Invoice,complete,Esmeralda Clay,2011-01-06 13:23:00+00:00,Send Invoice,Esmeralda Clay,5,Variant 37,37,Fluxicon Disco,2011-01-06 13:23:00+00:00,21
93,93,Authorize Supplier's Invoice payment,complete,Karalda Nimwada,2011-01-07 03:47:00+00:00,Authorize Supplier's Invoice payment,Karalda Nimwada,5,Variant 37,37,Fluxicon Disco,2011-01-07 03:47:00+00:00,25
94,94,Pay Invoice,complete,Karalda Nimwada,2011-01-07 04:04:00+00:00,Pay Invoice,Karalda Nimwada,5,Variant 37,37,Fluxicon Disco,2011-01-07 03:55:00+00:00,25
95,95,Create Purchase Requisition,complete,Christian Francois,2011-01-01 16:37:00+00:00,Create Purchase Requisition,Christian Francois,6,Variant 10,10,Fluxicon Disco,2011-01-01 16:20:00+00:00,6
96,96,Create Request for Quotation,complete,Alberto Duport,2011-01-01 22:45:00+00:00,Create Request for Quotation,Alberto Duport,6,Variant 10,10,Fluxicon Disco,2011-01-01 22:32:00+00:00,3
97,97,Analyze Request for Quotation,complete,Magdalena Predutta,2011-01-01 23:55:00+00:00,Analyze Request for Quotation,Magdalena Predutta,6,Variant 10,10,Fluxicon Disco,2011-01-01 23:39:00+00:00,7
98,98,Amend Request for Quotation,complete,Penn Osterwalder,2011-01-02 00:55:00+00:00,Amend Request for Quotation,Penn Osterwalder,6,Variant 10,10,Fluxicon Disco,2011-01-02 00:47:00+00:00,12
99,99,Analyze Request for Quotation,complete,Francois de Perrier,2011-01-02 02:28:00+00:00,Analyze Request for Quotation,Francois de Perrier,6,Variant 10,10,Fluxicon Disco,2011-01-02 01:55:00+00:00,8
100,100,Amend Request for Quotation,complete,Anne Olwada,2011-01-02 03:28:00+00:00,Amend Request for Quotation,Anne Olwada,6,Variant 10,10,Fluxicon Disco,2011-01-02 03:13:00+00:00,14
101,101,Analyze Request for Quotation,complete,Karel de Groot,2011-01-02 04:48:00+00:00,Analyze Request for Quotation,Karel de Groot,6,Variant 10,10,Fluxicon Disco,2011-01-02 04:24:00+00:00,2
102,102,Send Request for Quotation to Supplier,complete,Francois de Perrier,2011-01-02 15:22:00+00:00,Send Request for Quotation to Supplier,Francois de Perrier,6,Variant 10,10,Fluxicon Disco,2011-01-02 14:51:00+00:00,8
103,103,Create Quotation comparison Map,complete,Francois de Perrier,2011-01-02 20:32:00+00:00,Create Quotation comparison Map,Francois de Perrier,6,Variant 10,10,Fluxicon Disco,2011-01-02 15:27:00+00:00,8
104,104,Analyze Quotation Comparison Map,complete,Penn Osterwalder,2011-01-03 03:01:00+00:00,Analyze Quotation Comparison Map,Penn Osterwalder,6,Variant 10,10,Fluxicon Disco,2011-01-03 02:44:00+00:00,12
105,105,Choose best option,complete,Tesca Lobes,2011-01-03 03:01:00+00:00,Choose best option,Tesca Lobes,6,Variant 10,10,Fluxicon Disco,2011-01-03 03:01:00+00:00,9
106,106,Settle Conditions With Supplier,complete,Francois de Perrier,2011-01-03 18:16:00+00:00,Settle Conditions With Supplier,Francois de Perrier,6,Variant 10,10,Fluxicon Disco,2011-01-03 05:25:00+00:00,8
107,107,Create Purchase Order,complete,Karel de Groot,2011-01-03 20:07:00+00:00,Create Purchase Order,Karel de Groot,6,Variant 10,10,Fluxicon Disco,2011-01-03 19:57:00+00:00,2
108,108,Confirm Purchase Order,complete,Karen Clarens,2011-01-04 00:16:00+00:00,Confirm Purchase Order,Karen Clarens,6,Variant 10,10,Fluxicon Disco,2011-01-03 23:55:00+00:00,23
109,109,Deliver Goods Services,complete,Karen Clarens,2011-01-05 08:16:00+00:00,Deliver Goods Services,Karen Clarens,6,Variant 10,10,Fluxicon Disco,2011-01-04 10:08:00+00:00,23
110,110,Release Purchase Order,complete,Nico Ojenbeer,2011-01-05 15:28:00+00:00,Release Purchase Order,Nico Ojenbeer,6,Variant 10,10,Fluxicon Disco,2011-01-05 15:27:00+00:00,13
111,111,Approve Purchase Order for payment,complete,Karel de Groot,2011-01-05 22:10:00+00:00,Approve Purchase Order for payment,Karel de Groot,6,Variant 10,10,Fluxicon Disco,2011-01-05 22:09:00+00:00,2
112,112,Send Invoice,complete,Esmeralda Clay,2011-01-06 03:56:00+00:00,Send Invoice,Esmeralda Clay,6,Variant 10,10,Fluxicon Disco,2011-01-06 03:56:00+00:00,21
113,113,Release Supplier's Invoice,complete,Karalda Nimwada,2011-01-06 18:19:00+00:00,Release Supplier's Invoice,Karalda Nimwada,6,Variant 10,10,Fluxicon Disco,2011-01-06 18:12:00+00:00,25
114,114,Authorize Supplier's Invoice payment,complete,Karalda Nimwada,2011-01-06 18:19:00+00:00,Authorize Supplier's Invoice payment,Karalda Nimwada,6,Variant 10,10,Fluxicon Disco,2011-01-06 18:19:00+00:00,25
115,115,Pay Invoice,complete,Karalda Nimwada,2011-01-06 18:50:00+00:00,Pay Invoice,Karalda Nimwada,6,Variant 10,10,Fluxicon Disco,2011-01-06 18:43:00+00:00,25
116,116,Create Purchase Requisition,complete,Esmana Liubiata,2011-01-01 20:00:00+00:00,Create Purchase Requisition,Esmana Liubiata,7,Variant 13,13,Fluxicon Disco,2011-01-01 19:05:00+00:00,5
117,117,Analyze Purchase Requisition,complete,Maris Freeman,2011-01-02 18:38:00+00:00,Analyze Purchase Requisition,Maris Freeman,7,Variant 13,13,Fluxicon Disco,2011-01-02 18:33:00+00:00,10
118,118,Create Request for Quotation,complete,Maris Freeman,2011-01-02 18:42:00+00:00,Create Request for Quotation,Maris Freeman,7,Variant 13,13,Fluxicon Disco,2011-01-02 18:41:00+00:00,10
119,119,Analyze Request for Quotation,complete,Magdalena Predutta,2011-01-02 20:29:00+00:00,Analyze Request for Quotation,Magdalena Predutta,7,Variant 13,13,Fluxicon Disco,2011-01-02 20:07:00+00:00,7
120,120,Amend Request for Quotation,complete,Esmana Liubiata,2011-01-02 21:28:00+00:00,Amend Request for Quotation,Esmana Liubiata,7,Variant 13,13,Fluxicon Disco,2011-01-02 21:21:00+00:00,5
121,121,Analyze Request for Quotation,complete,Karel de Groot,2011-01-02 22:47:00+00:00,Analyze Request for Quotation,Karel de Groot,7,Variant 13,13,Fluxicon Disco,2011-01-02 22:22:00+00:00,2
122,122,Amend Request for Quotation,complete,Nico Ojenbeer,2011-01-02 23:50:00+00:00,Amend Request for Quotation,Nico Ojenbeer,7,Variant 13,13,Fluxicon Disco,2011-01-02 23:36:00+00:00,13
123,123,Analyze Request for Quotation,complete,Karel de Groot,2011-01-03 01:28:00+00:00,Analyze Request for Quotation,Karel de Groot,7,Variant 13,13,Fluxicon Disco,2011-01-03 01:14:00+00:00,2
124,124,Send Request for Quotation to Supplier,complete,Karel de Groot,2011-01-03 05:40:00+00:00,Send Request for Quotation to Supplier,Karel de Groot,7,Variant 13,13,Fluxicon Disco,2011-01-03 05:17:00+00:00,2
125,125,Create Quotation comparison Map,complete,Magdalena Predutta,2011-01-03 17:08:00+00:00,Create Quotation comparison Map,Magdalena Predutta,7,Variant 13,13,Fluxicon Disco,2011-01-03 13:00:00+00:00,7
126,126,Analyze Quotation Comparison Map,complete,Miu Hanwan,2011-01-04 00:35:00+00:00,Analyze Quotation Comparison Map,Miu Hanwan,7,Variant 13,13,Fluxicon Disco,2011-01-04 00:19:00+00:00,16
127,127,Choose best option,complete,Immanuel Karagianni,2011-01-04 00:35:00+00:00,Choose best option,Immanuel Karagianni,7,Variant 13,13,Fluxicon Disco,2011-01-04 00:35:00+00:00,1
128,128,Settle Conditions With Supplier,complete,Magdalena Predutta,2011-01-04 18:08:00+00:00,Settle Conditions With Supplier,Magdalena Predutta,7,Variant 13,13,Fluxicon Disco,2011-01-04 03:52:00+00:00,7
129,129,Create Purchase Order,complete,Karel de Groot,2011-01-04 22:18:00+00:00,Create Purchase Order,Karel de Groot,7,Variant 13,13,Fluxicon Disco,2011-01-04 22:10:00+00:00,2
130,130,Confirm Purchase Order,complete,Carmen Finacse,2011-01-05 07:44:00+00:00,Confirm Purchase Order,Carmen Finacse,7,Variant 13,13,Fluxicon Disco,2011-01-05 07:37:00+00:00,22
131,131,Deliver Goods Services,complete,Karen Clarens,2011-01-06 00:17:00+00:00,Deliver Goods Services,Karen Clarens,7,Variant 13,13,Fluxicon Disco,2011-01-05 14:12:00+00:00,23
132,132,Release Purchase Order,complete,Clement Duchot,2011-01-06 07:35:00+00:00,Release Purchase Order,Clement Duchot,7,Variant 13,13,Fluxicon Disco,2011-01-06 07:34:00+00:00,20
